SampleId	GROUP	Year	Image#	Group#	NObj	Type	AvgLumenArea	AvgLumenLength	AvgLumenWidth	AvgHorizontalPosition	AvgVerticalPosition	AvgLumenPerimeter	AvgLumenFormCoefficient	AvgLumenL/W	TotLumenArea	TotLumenLength	TotLumenWidth	TotLumenPerimeter	
1_dekD_1	CELL	2014	1	20	0	V	1679.0900	42.5000	45.9000	1179.2733	461.2179	10.2000	66.3000	119.0000	179.0389	0.6582	0.9259	
1_dekD_1	CELL	2014	1	21	0	V	1390.0900	35.7000	45.9000	1182.0266	756.8393	16.1500	12.7500	64.6000	155.6860	0.7207	0.7778	
1_dekD_1	CELL	2014	1	22	0	V	554.8800	30.6000	23.8000	1196.9505	394.7188	20.4000	64.6000	115.6000	99.2498	0.7079	1.2857	
1_dekD_1	CELL	2014	1	23	0	V	309.2300	10.2000	30.6000	1204.2196	346.9748	17.0000	4.2500	31.4500	81.7351	0.5817	0.3333	
1_dekD_1	CELL	2014	1	24	0	V	592.4500	23.8000	27.2000	1225.8990	355.9883	3.4000	9.3500	36.5500	112.8724	0.5844	0.8750	
1_dekD_1	CELL	2014	1	25	0	V	1020.1700	30.6000	27.2000	1232.1533	531.1272	71.4000	51.0000	153.0000	177.0928	0.4088	1.1250	
1_dekD_1	CELL	2014	1	26	0	V	1219.5800	35.7000	40.8000	1259.7967	220.1621	19.5500	38.2500	93.5000	161.5242	0.5874	0.8750	
1_dekD_1	CELL	2014	1	27	0	V	1471.0100	37.4000	44.2000	1273.1029	368.0183	11.0500	11.9000	60.3500	151.7939	0.8023	0.8462	
1_dekH_3	GLOBAL	1_dekH_3.TIF	0.0000 0.0000	jt	16.2.2018 12:23:30	Regent Instruments Inc.  WinCELL Pro 2011a 	ObjKnownDim µm	1.700000 1.700000	0.0000	THD-177	A<300.0000 	CentreHV	N	0	Y 180.0000	10	422 1124 814 2102	2014	1	B E	1029926.6400	666.4000	1662.6000	90.41	931163.7800	0.01	66.4700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	9.58	98696.3900	1065.8681	34.4781	32.7781	128.0152	0.7650	1.0711	32	0.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0 0.0	0 0.0		AREA	30	0.0000 300.0000 600.0000 900.0000 1200.0000 1500.0000 1800.0000 2100.0000 2400.0000 2700.0000 3000.0000 3300.0000 3600.0000 3900.0000 4200.0000 4500.0000 4800.0000 5100.0000 5400.0000 5700.0000 6000.0000 6300.0000 6600.0000 6900.0000 7200.0000 7500.0000 7800.0000 8100.0000 8400.0000 8700.0000 inf.	0	10	7	5	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1_dekH_3	CELL	2014	1	1	0	V	722.5000	27.2000	30.6000	781.0344	1993.8076	25.5000	23.8000	76.5000	103.1420	0.8534	0.8889	
1_dekH_3	CELL	2014	1	2	0	V	329.4600	20.4000	22.1000	811.5263	2084.0956	13.6000	29.7500	63.7500	66.1666	0.9457	0.9231	
1_dekH_3	CELL	2014	1	3	0	V	601.1200	18.7000	35.7000	850.8909	1985.1096	24.6500	7.6500	51.0000	99.2498	0.7669	0.5238	
1_dekH_3	CELL	2014	1	4	0	V	1017.2800	22.1000	49.3000	885.3281	1985.9960	7.6500	5.9500	35.7000	138.1713	0.6696	0.4483	
1_dekH_3	CELL	2014	1	5	0	V	390.1500	13.6000	28.9000	885.2341	2073.6978	59.5000	16.1500	89.2500	83.6812	0.7001	0.4706	
1_dekH_3	CELL	2014	1	6	0	V	1540.3700	40.8000	45.9000	927.7184	1978.9340	5.9500	118.1500	164.9000	155.6860	0.7986	0.8889	
1_dekH_3	CELL	2014	1	7	0	V	375.7000	22.1000	20.4000	926.2254	2360.6069	99.4500	223.5500	345.1000	73.9509	0.8633	1.0833	
1_dekH_3	CELL	2014	1	8	0	V	1369.8600	39.1000	40.8000	941.6601	2074.5165	16.1500	210.8000	266.0500	145.9556	0.8081	0.9583	
1_dekH_3	CELL	2014	1	9	0	V	378.5900	20.4000	23.8000	934.9351	2395.0794	103.7000	11.9000	136.0000	73.9509	0.8699	0.8571	
1_dekH_3	CELL	2014	1	10	0	V	869.8900	27.2000	32.3000	942.5229	2287.0761	106.2500	6.8000	140.2500	120.6566	0.7509	0.8421	
1_dekH_3	CELL	2014	1	11	0	V	2008.5500	62.9000	40.8000	969.8243	2217.8812	110.5000	106.2500	279.6500	180.9850	0.7706	1.5417	
1_dekH_3	CELL	2014	1	12	0	V	604.0100	23.8000	32.3000	976.5158	2825.9612	17.0000	198.0500	238.8500	91.4655	0.9073	0.7368	
1_dekH_3	CELL	2014	1	13	0	V	1179.1200	39.1000	37.4000	986.4792	2280.4542	6.8000	42.5000	88.4000	132.3331	0.8461	1.0455	
1_dekH_3	CELL	2014	1	14	0	V	2514.3000	62.9000	49.3000	998.0876	2398.1509	11.9000	24.6500	99.4500	202.3918	0.7713	1.2759	
1_dekH_3	CELL	2014	1	15	0	V	1095.3100	39.1000	37.4000	991.7594	2963.0821	107.9500	157.2500	304.3000	134.2792	0.7634	1.0455	
1_dekH_3	CELL	2014	1	16	0	V	1002.8300	40.8000	28.9000	999.9429	2483.9793	79.9000	182.7500	303.4500	134.2792	0.6989	1.4118	
1_dekH_3	CELL	2014	1	17	0	V	367.0300	10.2000	8.5000	992.0906	2637.6236	135.1500	0.8500	146.2000	107.0341	0.4026	1.2000	
1_dekH_3	CELL	2014	1	18	0	V	1869.8300	59.5000	39.1000	1043.2141	2553.0978	147.9000	64.6000	272.0000	180.9850	0.7173	1.5217	
